TCP,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source,total_words,discrete_count,variance,total_ngrams,discrete_ngrams,ngram_variance,principles
E000001.002,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,229111,15820,0.06904950002400582,229110,108572,0.4738859063332024,108
E000001.003,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,236195,16245,0.06877791655200152,236194,104456,0.4422466277720857,117
E000001.004,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,234034,14725,0.06291820846543665,234033,100572,0.42973426824422195,200
E000001.005,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,202685,13400,0.06611244048646915,202684,85552,0.42209547867616587,33
E000001.006,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,215947,13708,0.06347853871551816,215946,95820,0.4437220416215165,155
E000001.007,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,262300,13621,0.05192908882958445,262299,99519,0.3794105200553567,81
E000001.008,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,274499,13206,0.04810946487965348,274498,101896,0.3712085333955074,129
E000001.009,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,241838,13459,0.05565295776511549,241837,100396,0.41513912263218616,153
E000002.001,,,,,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719",,,The spectator,,,Gutenberg,327911,20169,0.06150754320532095,327910,141556,0.431691622701351,58
E000002.002,,,,,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719",,,The spectator,,,Gutenberg,316044,19451,0.06154522787966232,316043,138703,0.4388738241315264,47
