,term,score
0,expected,17.66186593513462
1,love,17.557424300739648
2,effect,15.298125509507523
3,inclination,11.992503205275282
4,worth,11.39805109265778
5,anothers,10.648265312509958
6,commanded,10.597119561080772
7,duty,10.54494231208652
8,undoubtedly,8.451040735173738
9,calculation,8.451040735173738
10,remains,7.5623168260453335
11,lie,6.9852011481029646
12,consist,6.904660958706775
13,attained,6.489382229150286
14,material,6.489382229150286
15,promise,6.043095126521867
16,volition,5.852474766913216
17,conformity,5.763571241771549
18,happiness,5.719217917924839
19,determined,5.670436355309499
20,particular,5.44288594162119
21,formal,5.44288594162119
22,preeminent,5.324132656254979
23,unconquerable,5.324132656254979
24,energy,5.324132656254979
25,overpowers,5.324132656254979
26,repelled,5.324132656254979
27,effects,5.324132656254979
28,paying,5.324132656254979
29,unconditional,5.299968013656901
30,serve,5.1030878680303955
31,proposition,5.1030878680303955
32,general,4.981713030375998
33,alone,4.943495953043708
34,conception,4.943495953043708
35,approve,4.918667548146814
36,subserve,4.918667548146814
37,propensions,4.918667548146814
38,seated,4.918667548146814
39,thwarting,4.918667548146814
40,influence,4.707436381370556
41,wait,4.6309854756950335
42,coincides,4.6309854756950335
43,deprived,4.6309854756950335
44,posteriori,4.6309854756950335
45,enemy,4.6309854756950335
46,derives,4.6309854756950335
47,maxim,4.519260990894223
48,regard,4.486473779297652
49,agreeableness,4.407841924380824
50,qualification,4.407841924380824
51,scripture,4.407841924380824
52,road,4.407841924380824
53,withdrawn,4.407841924380824
54,exclude,4.407841924380824
55,tender,4.407841924380824
56,chimerical,4.407841924380824
57,impelled,4.407841924380824
58,passage,4.407841924380824
59,determine,4.334264470209732
60,distress,4.225520367586869
61,simple,4.225520367586869
62,borrow,4.225520367586869
63,beneficence,4.225520367586869
64,act,4.170908408181197
65,spring,4.170908408181197
66,precedes,4.071369687759612
67,anywhere,4.071369687759612
68,excludes,4.071369687759612
69,desire,4.0565915805012995
70,applicable,3.9378382951350885
71,acquire,3.9378382951350885
72,aversion,3.9378382951350885
73,promotion,3.9378382951350885
74,realization,3.714694743820879
75,sympathy,3.714694743820879
76,suggested,3.714694743820879
77,favourable,3.714694743820879
78,assuming,3.714694743820879
79,similarly,3.714694743820879
80,prudent,3.714694743820879
81,serf,3.714694743820879
82,neighbour,3.714694743820879
83,universal,3.6251744348479167
84,health,3.6193845640165536
85,delusion,3.6193845640165536
86,end,3.5375691895311308
87,question,3.5375691895311308
88,signification,3.532373187026924
89,readily,3.532373187026924
90,proposed,3.4523304793533875
91,affection,3.4523304793533875
92,intention,3.4523304793533875
93,view,3.3995834465572274
94,appear,3.378222507199666
95,arise,3.378222507199666
96,keep,3.3092296357127142
97,supposing,3.3092296357127142
98,distinguish,3.3092296357127142
99,stand,3.3092296357127142
100,purpose,3.245661364284971
101,third,3.244691114575143
102,preceding,3.244691114575143
103,sake,3.184066492758708
104,promote,3.184066492758708
105,depend,3.1269080789187598
106,pathological,3.1269080789187598
107,clearly,3.1269080789187598
108,sometimes,3.072840857648484
109,false,3.0215475632609334
110,vain,2.926237383456608
111,understand,2.926237383456608
112,perfectly,2.926237383456608
113,express,2.8817856208857746
114,clear,2.7984040119467233
115,brought,2.759183298793442
116,accordingly,2.759183298793442
117,obedience,2.721442970810595
118,subjectively,2.6850753266397205
119,nay,2.6850753266397205
120,choice,2.6499840068284506
121,sort,2.616082455152769
122,look,2.616082455152769
123,impulse,2.583292632329778
124,objectively,2.583292632329778
125,element,2.583292632329778
126,follow,2.5515439340151977
127,manner,2.5515439340151977
128,certainly,2.4909193121987627
129,wholly,2.4619317753255103
130,connected,2.4619317753255103
131,enough,2.4619317753255103
132,common,2.4337608983588144
133,acting,2.4337608983588144
134,else,2.4337608983588144
135,result,2.4063619241706995
136,motive,2.353718190685278
137,except,2.353718190685278
138,requires,2.353718190685278
139,interest,2.353718190685278
140,taken,2.353718190685278
141,simply,2.3037077701106163
142,already,2.3037077701106163
143,conduct,2.3037077701106163
144,whereas,2.2796102185315563
145,determines,2.2796102185315563
146,absolutely,2.2796102185315563
147,reference,2.2796102185315563
148,call,2.2106173470446047
149,right,2.188638440325829
150,follows,2.167132235104866
151,become,2.1460788259070336
152,second,2.1052568313867783
153,need,2.066036118233497
154,present,2.0469879232628028
155,others,2.0282957902506498
156,true,2.0282957902506498
157,regarded,2.0282957902506498
158,person,2.0099466515824536
159,example,2.0099466515824536
160,otherwise,1.974228568980374
161,consequence,1.974228568980374
162,word,1.956836826268505
163,command,1.9397423929092048
164,necessity,1.9397423929092048
165,judgment,1.8901454517698328
166,natural,1.8583967534552523
167,certain,1.8276250947884989
168,supreme,1.8125872174239583
169,priori,1.783173332217665
170,something,1.7545999597736088
171,least,1.7545999597736088
172,cause,1.7268203956665331
173,notion,1.6734744149612406
174,consequently,1.6478319843479028
175,sense,1.6228306821424856
176,former,1.5864630379716107
177,hence,1.5746285803246078
178,called,1.5629325405614165
179,necessary,1.5513717181603406
180,always,1.4846803436616685
181,namely,1.4634029452143835
182,preexisting,0.0
183,preferring,0.0
184,predict,0.0
185,poverty,0.0
186,prediction,0.0
187,predilection,0.0
188,preferred,0.0
189,predisposition,0.0
190,power,0.0
191,predominance,0.0
192,renounce,0.0
193,renounced,0.0
194,pract,0.0
195,preface,0.0
196,pp,0.0
197,powerful,0.0
198,powerlessness,0.0
199,preference,0.0
