DocName,FileName,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source,total_words,discrete_count,variance
E000001.002,E000001.002.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,226918,14796,0.06520417066958108
E000001.003,E000001.003.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,234402,15393,0.06566923490413905
E000001.004,E000001.004.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,232600,13738,0.059062768701633704
E000001.005,E000001.005.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,201449,12525,0.062174545418443375
E000001.006,E000001.006.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,215113,13050,0.060665789608252405
E000001.007,E000001.007.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,259889,12753,0.04907094952075694
E000001.008,E000001.008.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,271347,12191,0.04492771248622612
E000001.009,E000001.009.txt,,,,,John Adams,,,,The Statutes at Large,,,139972,68575.0,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,,The works of John Adams,,,Liberty Fund,239441,12441,0.051958520052956675
E000002.001,E000002.001.txt,,,,,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719",,,The spectator,,,Gutenberg,325078,19169,0.058967386288829145
E000002.002,E000002.002.txt,,,,,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719",,,The spectator,,,Gutenberg,313955,18932,0.06030163558471756
