TCP,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source
E000001.002,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.003,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.004,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.005,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.006,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.007,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.008,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000001.009,,,,,John Adams,,,,The Statutes at Large,,,139972,68575,,heart failure,"United States of America, Great Britain",,,"John Adams, Gilbert Stuart, c1800 1815.jpg","American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",English,"lawyer, politician, diplomat, political philosopher, statesperson",United First Parish Church,Federalist Party,"United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives","Unitarianism, congregational church, Congregationalist polity",male,Abigail Adams,,John Adams,,,,,,"Adams, John",,NA,The works of John Adams,,,Liberty Fund
E000002.001,,,,,Joseph Addison,,,,,,,64087,156,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719",,NA,The spectator,,,Gutenberg
E000002.002,,,,,Joseph Addison,,,,,,,64087,156,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719",,NA,The spectator,,,Gutenberg
