DocName,Author_original,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Wikidata ID,sex or gender,country of citizenship,ethnic group,field of work,occupation,position held,religion or worldview,"languages spoken, written or signed",movement,member of,Number of authors,Date,Title,Pages,Source
E000001.002,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.003,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.004,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.005,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.006,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.007,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.008,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000001.009,"Adams, John",John Adams,,,,,,Q11806,male,"United States of America, Great Britain",,,"lawyer, politician, diplomat, political philosopher, statesperson, writer","United States Ambassador to the Netherlands, Vice President of the United States, United States Ambassador to the United Kingdom, United States Ambassador to France, President of the United States, member of the Massachusetts House of Representatives, President-elect of the United States","Unitarianism, congregational church, Congregationalist polity","English, French, Latin",,"American Philosophical Society, American Academy of Arts and Sciences, American Antiquarian Society",1,NA,The works of John Adams,NA,Liberty Fund
E000002.001,"Addison, Joseph, 1672-1719",Joseph Addison,,,,,,Q206384,male,England,,,"politician, writer, playwright, poet, journalist, editor, librettist","Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,"Latin, English",,,1,NA,The spectator,NA,Gutenberg
E000002.002,"Addison, Joseph, 1672-1719",Joseph Addison,,,,,,Q206384,male,England,,,"politician, writer, playwright, poet, journalist, editor, librettist","Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,"Latin, English",,,1,NA,The spectator,NA,Gutenberg
